Breed Name,Affectionate With Family,Good With Young Children,Good With Other Dogs,Shedding Level,Coat Grooming Frequency,Drooling Level,Coat Type,Coat Length,Openness To Strangers,Playfulness Level,Watchdog/Protective Nature,Adaptability Level,Trainability Level,Energy Level,Barking Level,Mental Stimulation Needs
Bedlington Terrier,3,3,3,1,3,1,Curly,Medium,3,3,4,3,3,4,3,3
Belgian Laekenois,3,3,3,3,2,1,Wiry,Medium,3,3,4,3,5,4,3,4
Belgian Malinois,3,3,3,3,2,1,Smooth,Short,3,3,4,3,5,4,3,4
Belgian Sheepdog,3,3,3,3,2,1,Double,Medium,3,3,4,3,5,4,3,4
Belgian Tervuren,3,3,3,3,2,1,Double,Medium,3,3,4,3,5,4,3,4
Bergamasco Sheepdog,3,3,3,1,1,2,Corded,Long,3,3,4,3,3,3,1,3
Berger Picard,3,3,3,3,1,1,Wiry,Medium,3,3,4,3,4,4,2,4
Bernese Mountain Dog,5,5,5,5,3,3,Double,Medium,4,4,3,4,4,4,3,3
Bichon Frise,5,5,5,1,5,1,Double,Long,5,4,2,4,4,4,3,3
Biewer Terrier,5,3,5,1,3,1,Silky,Long,3,4,2,3,3,3,3,3
Black and Tan Coonhound,4,5,5,3,2,3,Smooth,Short,3,3,2,4,3,3,4,3
Black Russian Terrier,3,3,3,3,4,3,Double,Medium,2,3,5,4,4,4,3,4
Bloodhound,4,3,3,3,2,5,Smooth,Short,3,3,2,3,4,3,5,3
Blue Picardy Spaniel,3,5,5,3,1,1,None,None,1,3,3,5,5,3,3,1
Bluetick Coonhound,3,3,5,3,2,2,Smooth,Short,3,3,2,3,4,4,4,3
Boerboel,5,4,2,3,2,3,Smooth,Short,3,3,5,3,4,3,3,4
Bohemian Shepherd,4,4,4,3,2,1,Double,Medium,3,4,4,4,4,4,4,4
Bolognese,3,3,3,1,3,1,Wavy,Long,5,1,1,5,5,1,1,1
Border Collie,5,3,3,3,3,1,Double,Medium,4,5,3,5,5,5,4,5
Border Terrier,4,5,3,2,2,1,Wiry,Short,4,4,3,4,4,3,3,3
Borzoi,3,3,3,3,2,1,Curly,Medium,3,3,3,3,2,4,2,4
Boston Terrier,5,5,4,2,2,1,Smooth,Short,5,5,3,3,4,4,2,3
Bouvier des Ardennes,5,3,3,3,1,1,None,None,3,3,5,5,5,5,5,5
Bouvier des Flandres,3,3,3,3,4,2,Rough,Medium,3,3,4,3,4,4,3,3
Boxer,4,5,3,2,2,3,Smooth,Short,4,4,4,3,4,4,3,4
Boykin Spaniel,3,5,5,3,3,1,Double,Medium,3,4,3,4,4,4,3,3
Bracco Italiano,3,4,4,2,1,2,Smooth,Short,3,3,3,3,5,4,2,3
Braque du Bourbonnais,3,3,4,2,1,2,Smooth,Short,3,3,3,3,5,4,2,3
